Adam 	﻿A Dong 
Extortionate clerkdom, corrupt clerkdom 	ô lại 
Salted dry apricot, sugared dry apricot-salted sugared dry carambola 	ô mai 
Sugared dry tamarind 	ô mai me 
Omega 	ô mê ga 
Apricots or other small fruits preserved in salt, licorice, 	ô môi 
Heavy pollution 	ô nhiêm nặng 
Pollution; to pollute 	ô nhiễm 
Environmental pollution 	ô nhiễm môi sinh 
Environmental pollution 	ô nhiễm môi trường 
Polluted water 	ô nhiễm nước 
Disgraceful, shameful, ignoble, ignominious 	ô nhục 
Auromycine 	ô rê ô mi xin 
Bear’s breech tree 	ô rô 
Hotel 	ô ten 
Impure, corrupt 	ô trọc 
Automobile, car 	ô tô 
Autobus 	ô tô buýt 
Autocar 	ô tô ca 
Automatic 	ô tô ma tích 
Automaton 	ô tô mat 
Railcar 	ô tô ray 
Miscellaneous 	ô tạp 
Cuttle bone 	ô tặc cốt 
Wardrobe 	ô tủ 
Dirty, impure, filthy; filth 	ô uế 
Square 	ô vuông 
Awning, canopy 	ô văng 
Oxygen 	ô xi 
Oxide 	ô xít 
Ozone 	ô zôn 
Olive 	ô-liu 
Omega 	ô-mê-ga 
Aureomycin 	ô-rê-ô-mi-xin 
Hotel 	ô-ten 
Auto 	ô-tô 
Autobus 	ô-tô-buýt 
Autocar 	ô-tô-ca 
Automatic 	ô-tô-ma-tích 
Automaton, robot 	ô-tô-mát 
Railcar 	ô-tô-ray 
Awning, canopy, porch roof 	ô-văng 
Oxygen 	ô-xi 
Oxide 	ô-xít 
Ozone 	ô-zôn 
1 spoiled, rotten; 2 exclamation of surprise or to get sb’s attention 	ôi 
Alas! exclamation of surprise 	ôi chao 
Rancid 	ôi khét 
To embrace, hug, grab; an armful 	ôm 
To hold one’s sides with laughter 	ôm bụng 
To fawn upon, toady to 	ôm chân 
To embrace, hug tightly 	ôm chặt 
Woman to marry 	ôm cầm 
Clasp, hug, embrace 	ôm ghì 
To cherish the hope 	ôm hy vọng 
Embrace and kiss 	ôm hôn 
Ohm meter 	ôm kế 
To grab, cover, hug 	ôm lấy 
To hold one’s face and cry, cry in one’s hands 	ôm mặt khóc 
To hug each other 	ôm nhau 
To embrace tightly 	ôm sát 
To hug, embrace tightly 	ôm sát sạt 
Be pregnant, be in the family way 	ôm trống 
To carry something under one’s arms 	ôm vật gì trong nách 
To kiss sb’s ass 	ôm đít 
To hold one’s head in one’s hands 	ôm đầu 
Carry too many things at a time 	ôm đồm 
To hug, embrace lit and fig; cherish 	ôm ấp 
To review a lesson 	ôn 
Little devil, imp 	ôn con 
To revise the old in order to know the new 	ôn cố tri tân 
Epidemic, plague 	ôn dịch 
Epidemic, plague 		ôn hoà tính từ, equable, temperate, moderate, mild, gentle
Formal, moderate, temperate, calm, poised, peaceful, non-violent 	ôn hòa 
Gentle and honest 	ôn hậu 
Review revise and drill 	ôn luyện 
To review 	ôn lại 
To revise for one’s exam, review for one’s exam 	ôn thi 
Hot springs 	ôn tuyền 
To review for one’s exams 	ôn tập 
Repetition is the mother of learning. 	ôn tập là mẹ của học tập 
Soft, mild, moderate 	ôn tồn 
Imp, little devil 	ôn vật 
Temperate zone 	ôn đới 
Mr., you m 	ông 
Mr. Bob 	ông Bob 
American man 	ông Mỹ 
Tiger 	ông ba mươi 
Mr. and Mrs., grandmother and grandfather, grandparents, ancestors 	ông bà 
Ancestors 	ông bà ông vải 
Manager theater 	ông bầu 
Father 	ông bố 
Very important person VIP 	ông bự 
Ancestors, forefathers, forbears 	ông cha 
Husband 	ông chồng 
Manager, director, boss, owner, chief 	ông chủ 
Landlord 	ông chủ nhà 
Owner of a business, manager of business 	ông chủ nhà hàng 
What else are you waiting for? 	ông còn chờ gì nữa 
Grandfather 	ông cô nội 
The lares, kitchen god 	ông công 
Policeman 	ông cảnh 
Policeman 	ông cảnh sát 
Policeman 	ông cẩm 
Elderly gentleman, old gentleman, old man; father 	ông cụ 
Father-in-law 	ông gia 
Old man 	ông già 
Lords and ladies, people in high places, upper classes 	ông hoàng bà chúa 
He was one of a number of musicians 	ông là một trong số các nhạc sĩ 
Old gentleman, gentleman advanced in years 	ông lão 
Great mandarin 	ông lớn 
Deceased bachelor, mischievious youth 	ông mãnh 
Maternal grandmother; mother’s father 	ông ngoại 
Father of one’s wife, father-in-law 	ông nhạc 
Black man 	ông nhọ 
Black guy 	ông nhọ da đen 
This man, this guy 	ông này 
Him person already mentioned 	ông nầy 
Paternal grandfather 	ông nội 
Mailman 	ông phát thư 
Assistant police chief 	ông phó công an 
Pot-bellied statue in sitting position. 	ông phệnh 
He 	ông ta 
He was expelled from Cambodia 	ông ta bị trục xuất ra khỏi Cam Bốt 
He was a bridge between France and Vietnam 	ông ta là chiếc cầu nối liền nước Pháp và Việt Nam 
When did he die? 	ông ta mất hồi nào 
Schoolmaster 	ông thày trường 
Father 	ông thân 
Premier 	ông thủ tướng 
Godfather, magnate, tycoon, baron, lord, leader, head 	ông trùm 
God, heaven, the creator 	ông trời 
The lares, kitchen god 	ông táo 
The match-maker 	ông tơ 
Matchmaker 	ông tơ bà nguyệt 
Braggard 	ông tướng 
Ancestor of a line of descent 	ông tổ 
Temple guardian 	ông từ 
Ancestor 	ông vãi 
Heaven 	ông xanh 
Husband one’s own 	ông xã 
My hubby 	ông xã nhà tôi 
The earth god 	ông địa 
Psychic, medium 	ông đồng 
He, him 	ông ấy 
He denied the above statements 	ông ấy phủ nhận những lời tuyên bố trên 
Raucous noise 	ông ổng 
Walk or behave flirtatiously or affectedlly 	õng à õng ẹo 
1 to buzz, be noisy; 2 fast, swift, hurried; to hurry up; 3 to win in certain card games; 4 to thunder, make a thundering sound 	ù 
Dazed, stupid, bewildered 	ù cạc 
Smallest win in mahjong or other game 	ù suông 
To have a buzzing or ringing in one’s ears 	ù tai 
Stupid, foolish 	ù ì 
Onomatopoeia of muffled sound 	ù ù 
Ignorant 	ù ù cạc cạc 
Inarticulate sounds 	ù ờ 
To flow, rush, dash 	ùa 
To follow blindly 	ùa theo 
To dive, jump into water; to fool; to hug, huddle 	ùm 
To accumulate, pile up 	ùn 
Jam 	ùn tắc 
To gather, accumulate, crowd together, flock 	ùn ùn 
Slow due to being fat 	ùn ỉn 
Onomatopoeia for gurgling sound 	ùng ục 
Fat 	ú 
To mutter 	ú a ú a 
Big 	ú sụ 
Hide and seek 	ú tim 
Peekaboo 	ú òa 
To mutter, talk in one’s sleep, speak incoherently; speechless 	ú ớ 
Big 	ú ụ 
To mutter 	ú ứ 
Brown, waning, wilted, dried up 	úa 
Yellow, wilt 	úa vàng 
Oogh! oof! 	úi 
Exclamation of surprise, admiration 	úi chà! 
Under the weather, sick 	úi úi 
To warm in one’s arms 	úm 
Rotten, spoiled fruit 	úng 
Flood, inundation 	úng lụt 
Spoiled, rotten due to water 	úng thủy 
Clogged, stopped up 	úng tắc 
To upset, overturn, turn over 	úp 
Clear, unambiguous, unequivocal 	úp mở 
Smallest, youngest, little 	út 
1 to fear; 2 military officer 	úy 
Fear, phobia 	úy chứng 
To fear 	úy cụ 
To fear, be afraid 	úy kỵ 
To solace 	úy lạo 
To fear death 	úy tử 
Taboo 	úy vật 
Tabooism 	úy vật giáo 
1 opinion, mind, position, thought, idea; 2 Italy 	ý 
Will, intention 	ý chí 
Voluntarism 	ý chí luận 
Strong will 	ý chí mạnh mẽ 
Tendency, inclination 	ý hướng 
Understand, conceive, realize 	ý hội 
View, opinion 	ý kiến 
Inconsistent ideas 	ý kiến bất nhất 
A good idea 	ý kiến hay 
Different opinions, differing opinions 	ý kiến khác nhau 
The idea flashed through my mind 	ý kiến nảy ra trong trí tôi 
Humble opinion 	ý kiến thô thiển 
That is really an excellent idea 	ý kiến ấy quả là một cao kiến 
Will, desire, wish 	ý muốn 
Idea, thought 	ý nghĩ 
Meaning, sense, significance; significant 	ý nghĩa 
Political meaning, significance 	ý nghĩa chính trị 
Historical significance 	ý nghĩa lịch sử 
Prayer, wish, desire, aspiration 	ý nguyện 
Delicate, subtle, delicacy, nicety, sensitiveness, sensibility 	ý nhị 
Concept, idea, notion 	ý niệm 
Taste, liking 	ý thích 
Consciousness, awareness, sense 	ý thức 
Ideology, system of beliefs 	ý thức hệ 
Dream girl, dream boy 	ý trung nhân 
Thought, idea, concept 	ý tưởng 
Considerate, thoughtful 	ý tứ 
Savory, meaningful 	ý vị 
Intention, will, thought, idea, plan 	ý định 
Expansionist intention 	ý định bành trướng 
Intention, design 	ý đồ 
Great Britain, England, British, English 	Ăng Lê 
Anglo-Saxon 	Ăng lô Sắc xông 
To carry in the arms 	ăm 
Phial, ampoule 	ăm pun 
Very full, full to bursting 	ăm ắp 
To take, accept a bribe 	ăn của đút 
1 to eat away at, attack, corrode, cost; to attend, celebrate, take part in a event where food is served; 3 to earn illegally 	ăn 
To be a parasite 	ăn boóng 
To be a parasite, live at someone else’s expense 	ăn bám 
To live off of one’s family 	ăn bám gia đình 
To be a parasite, be dependant 	ăn báo cô 
To live at someone else’s expense 	ăn bảo 
To dress, wear 	ăn bận 
To eat with one’s fingers 	ăn bốc 
To appropriate other people’s money to oneself, skim money, profits 	ăn bớt 
To eat out, eat in a restaurant 	ăn cao lâu 
To follow a vegetarian diet 	ăn chay 
To obey the Buddhist rules 	ăn chay niệm phật 
To feast, attend a party 	ăn chay tiệc 
To eat together, mess 	ăn chung 
To bite the hand that feeds one 	ăn cháo đá bát 
To party, have fun, eat for fun 	ăn chơi 
Thrifty; to be sure to win 	ăn chắc 
Comfort is better than pride 	ăn chắc mặc bền 
To extort, squeeze, make money dishonestly 	ăn chặn 
To take unfair advantage of 	ăn chẹt 
To eat on credit, on a tab 	ăn chịu 
To freeload, sponge 	ăn chực 
To win a bet 	ăn cuộc 
To win a bet 	ăn cá 
To be in cahoots with someone 	ăn cách 
To eat a meal, have a meal 	ăn cơm 
To eat Vietnamese food 	ăn cơm Việt Nam 
To eat at home 	ăn cơm nhà 
To board 	ăn cơm tháng 
To be entertained at dinner 	ăn cơm thết 
To eat, have lunch 	ăn cơm trưa 
To attend a wedding banquet, reception 	ăn cưới 
To rob, burglarize, raid, hold up, hijack 	ăn cướp 
To rob, steal, filch, pilfer 	ăn cắp 
Herbivorous, herbivore 	ăn cỏ 
To attend a feast, banquet 	ăn cỗ 
Corrosive, caustic to skin 	ăn da 
To practice economy or thrift, tighten one’s belt 	ăn dè 
To be idle 	ăn dưng ngồi rồi 
To obtain by seduction, talk someone into giving you sth 	ăn dỗ 
Of pregnant woman to eat sour things 	ăn dở 
To be a hanger-on, feed on the expense of others 	ăn ghé 
To feed on uncooked vegetables 	ăn ghém 
To eat someone else’s ration 	ăn ghẹ 
To cheat 	ăn gian 
To continue gambling in an attempt to win bigger gains 	ăn già 
To strike a bargain, come to terms, agree on a price 	ăn giá 
To work hand in glove 	ăn giơ 
To eat a lot after recovering from illness 	ăn giả bữa 
To win a prize 	ăn giải 
To celebrate the anniversary of someone’s death 	ăn giỗ 
To eat uncooked food, spend too much 	ăn gỏi 
To bully, abuse, oppress, tyrannize 	ăn hiếp 
To earn a commission 	ăn hoa hồng 
To get one’s share of the family property 	ăn hương hỏa 
To be a parasite, live at the expense of another 	ăn hại 
To study 	ăn học 
To complete one’s studies 	ăn học đến nơi đến chốn 
To celebrate an engagement, attend an engagement party 	ăn hỏi 
To accept, receive, take a bribe 	ăn hối lộ 
To profit by others’ labor 	ăn hớt 
To celebrate a happy event by eating 	ăn khao 
To follow a diet 	ăn khem 
To celebrate by means of a feast 	ăn khoa 
To be idle 	ăn không 
To not enjoy eating, lose one’s appetite 	ăn không ngon miệng 
To eat the bread of idleness 	ăn không ngồi rồi 
To be a picky eater, be fastidious about 	ăn khảnh 
To have a large, healthy appetite 	ăn khỏa 
To be well fitted for something 	ăn khớp 
To be on a diet 	ăn kiêng 
To enlarge, spread 	ăn lan 
Instant, ready to eat, fast food 	ăn liền 
To make, earn a profit 	ăn lãi 
To get a raise, promotion 	ăn lên 
To snack, eat breakfast 	ăn lót dạ 
Wage 	ăn lương 
To cheat 	ăn lận 
To take, accept a bribe 	ăn lễ 
To have good fortune, enjoy material advantages 	ăn lộc 
To take a profit, be obedient 	ăn lời 
Tit for tat, an eye for an eye 	ăn miếng trả miếng 
To beg, panhandle; beggar 	ăn mày 
Beggars can’t be choosers 	ăn mày đòi xôi gấc 
To eat away, corrode 	ăn mòn 
French dishes, French foods 	ăn món Pháp 
To work for one’s own advantage 	ăn mảnh 
To dress, be dressed; to live 	ăn mặc 
To be smartly dressed 	ăn mặc diêm dúa 
To dress well, be well-dressed 	ăn mặc ngon lành 
To be dressed in rags 	ăn mặc rách rưới 
Well-dressed 	ăn mặc sang trọng 
Well-dressed, dressed in beautiful clothes 	ăn mặc đẹp đẽ 
To eat meat 	ăn mặn 
To celebrate 	ăn mừng 
To celebrate a birthday 	ăn mừng sinh nhật 
To have a tasty meal; tasty, delicious 	ăn ngon 
To eat with a good appetite 	ăn ngon miệng 
To gain advantage over others by one’s wits, get the better 	ăn người 
To devour one’s meal 	ăn ngấu nghiến 
To eat insipid food 	ăn nhạt 
To concern, relate to something, have to do with, be relevant 	ăn nhập 
To do drinking, indulge in drinking 	ăn nhậu 
To have reverence 	ăn nhằm 
To eat one’s fill 	ăn no 
To feed and clothe oneself properly 	ăn no mặc ấm 
To stop gambling while one is ahead 	ăn non 
To thrive, flourish, prosper 	ăn nên làm ra 
To talk, speak up 	ăn nói 
To use a refined language 	ăn nói bay bướm 
To speak with simplicity 	ăn nói mộc mạc 
To talk foolishly 	ăn nói ngô nghê 
To talk nonsense 	ăn nói thiên binh 
To regret, repent, show remorse, show repentance 	ăn năn 
To live as husband and wife, sleep together, have sex 	ăn nằm 
Are you sick of eating pho yet? 	ăn phở chán chưa? 
To snack, eat between meals 	ăn quà 
To overeat, eat too much 	ăn quá 
To eat without paying 	ăn quịt 
To root, take root 	ăn rễ 
To live in luxury 	ăn sung mặc sướng 
To spend money 	ăn sài 
To eat breakfast 	ăn sáng 
Night burglar, prowler 	ăn sương 
To eat uncooked food 	ăn sống 
Greedy, gluttonous 	ăn tham 
To live off somebody, sponge off somebody 	ăn theo 
To quarrel, contest; to be successful 	ăn thua 
To swear 	ăn thầ 
To take an oath, swear brotherhood 	ăn thể 
To eat remains 	ăn thừa 
To inherit, serve as heir 	ăn thừa tự 
To sample food, taste 	ăn thử 
To spend money 	ăn tiêu 
To accept a bribe; to be successful, work 	ăn tiền 
To attend a banquet, feast 	ăn tiệc 
To win big 	ăn to 
To speak out 	ăn to nói lớn 
To have, eat dessert 	ăn tráng miệng 
To eat lunch 	ăn trưa 
To chew or eat betel 	ăn trầu 
To stay at, board at 	ăn trọ 
To burglarize, rob, steal 	ăn trộm 
To eat everything 	ăn tuốt 
To eat something underdone 	ăn tái 
To make mincemeat of somebody, wipe the floor with somebody 	ăn tươi nuốt sống 
To gobble 	ăn tạp 
To celebrate the new year 	ăn tết 
To eat dinner, eat the evening meal 	ăn tối 
To eat without manners 	ăn tục 
To talk through one’s hat 	ăn tục nói phét 
To eat and drink; to consume food; cuisine, food and drink 	ăn uống 
To eat and drink until one is full, satisfied 	ăn uống thỏa thê 
To be temperate, live temperately 	ăn uống điều độ 
To eat on borrowed resources 	ăn vay 
To eat at, eat into 	ăn vào 
To eat at one’s liver disease 	ăn vào gan 
To eat meat, etc without rice 	ăn vã 
To complain and insist on having more profit 	ăn vòi 
To stage a sit-down strike, throw a tantrum, raise a fuss 	ăn vạ 
To dress 	ăn vận 
To snack, eat between meals 	ăn vặt 
To eat secretly, sneak food 	ăn vụng 
To beg, panhandle 	ăn xin 
To spend money 	ăn xài 
To graft 	ăn xén 
To die 	ăn xôi 
To eat pickles before they are ready, eat before sth is completely cooked 	ăn xổi 
To live from day to day, live from hand to mouth 	ăn xổi ở thì 
To take part in an imperial banquet 	ăn yến 
To be in harmony, sympathize with one another 	ăn ý 
To eat, have breakfast 	ăn điểm tâm 
To live from hand to mouth 	ăn đong 
To work at, hunt by night 	ăn đêm 
To be hit, slap 	ăn đòn 
To take bribes 	ăn đút 
To spend during travel 	ăn đường 
What advantages does sth have? 	ăn được cái gì 
Dirt-eating; to die 	ăn đất 
To eat rice mixed with other cereals 	ăn độn 
To excel, win over, prevail over, be the best, get the better of 	ăn đứt 
Photogenic 	ăn ảnh 
To eat and live, conduct oneself, behave 	ăn ở 
To behave in a disloyal way 	ăn ở bất nghĩa 
To behave in a most exemplary way 	ăn ở mực thước 
Investigation, inquiry 	ăng kết 
Antenna 	ăng ten 
Anti-jamming antenna 	ăng ten chống phá sóng 
Dipole antenna 	ăng ten căn bản 
Whip antenna 	ăng ten cần 
Disk shaped antenna 	ăng ten hình bầu dục 
Disk shaped antenna 	ăng ten hình đĩa 
Directional antenna 	ăng ten hướng sóng 
Loop antenna 	ăng ten khung 
Doublet antenna 	ăng ten kép 
Half wave antenna 	ăng ten nữa sóng 
Transmitting antenna 	ăng ten phát 
Quarter wave antenna 	ăng ten phần tư sóng 
Trailing antenna 	ăng ten treo 
Noise antenna 	ăng ten trừ nhiễu âm 
Omnidirectional antenna 	ăng ten vô hướng 
Fishpole antenna 	ăng ten ứng chế 
Antimony 	ăng ti moan 
Abbreviation for đại biểu 	ĐB 
Đảng Cộng Sản Communist Party 	ĐCS 
đéo mẹ motherfucker 	ĐM 
Đông Nam Á Châu Southeast Asia 	ĐNÁ 
đào tạo training 	ĐT 
điện thoại di động mobile telephone 	ĐTDĐ 
Denmark, Danish 	Đan Mạch 
Feel a dull and lasting pain 	Đau ngâm ngẩm 
Dalat city in Vietnam 	Đà Lạt 
Taipei 	Đài Bắc 
Taiwan 	Đài Loan 
Taiwan is a dissident province 	Đài Loan là một tỉnh ly khai 
Taiwan declared its full support 	Đài Loan tuyên bố hoàn toàn ủng hộ 
Radio Free Asia 	Đài Á Châu Tự Do 
This is the first time 	Đây là lần thứ nhứt 
Indochina 	Đông Dương 
Tokyo 	Đông Kinh 
Southeast Asia 	Đông Nam Á 
Southeast Asia 	Đông Nam Á Châu 
East and West 	Đông và Tây 
Eastern Europe 	Đông Âu 
Ancient name of Hà Nội 	Đông Đô 
Tang prosody 	Đường luật 
A demarcation line 	Đường phân giới 
He was asked ~ 	Được hỏi ông 
Chinese cultural revolution 	Đại Cách mạng Văn hóa 
Korea, Republic of Korea 	Đại Hàn 
Pakistan 	Đại Hồi 
Greater Vietnam, Dai Viet 	Đại Việt 
The great bear 	Đại hùng tinh 
Daoism, Taoism 	Đạo giáo 
Tao Te Ching 	Đạo Đức Kinh 
Dalai Lama 	Đạt Lai Lạt Ma 
Cardinal Cao Dai 	Đầu Sư 
Roman empire 	Đế Quốc La Mã 
Are we there already? 	Đến nơi rồi à 
First Republic of VN 	Đệ Nhất Cộng Hòa 
First Family President’s family 	Đệ Nhất Kinh Gia 
First Lady President’s wife 	Đệ Nhất Phu Nhân 
East Germany 	Đống Đức 
The Assumption of the Virgin Mary 	Đức Bà Về Trời 
The Pope 	Đức Giáo Hoàng 
Germany 	Đức Quốc 
Holy Father, the Pope 	Đức Thánh Cha 
Father title for a priest 	Đức cha 
Much, many, multiple, multi- 	đa 
Pluricellular 	đa bào 
Polypoid 	đa bội 
Polyculture 	đa canh 
Multiprogram 	đa chương trình 
Sentimental, sensitive, emotional 	đa cảm 
Multipolar 	đa cực 
Multisided, multifaceted; polyhedron 	đa diện 
Oversexed, lewd, lascivious 	đa dâm 
Diversified, diverse 	đa dạng 
Diversification; to diversify 	đa dạng hóa 
Polymorphic, polymorphous 	đa hình 
Multisystem 	đa hệ 
Stone just quarried 	đa hộc 
Polyvalent of a vaccine 	đa liên 
To take on many jobs at the same time, set one’s mind on 	đa mang 
Wily, cunning 	đa mưu 
Suspicious, distrustful 	đa nghi 
Multiple, multi-, multisided 	đa nguyên 
Pluralism 	đa nguyên luận 
Polyatomic 	đa nguyên tử 
Multiparty system 	đa nguyên đa đảng 
Interdisciplinary 	đa ngành 
Overcommunicative, loquacious, talkative 	đa ngôn 
Multilingual 	đa ngôn ngữ 
Polyglot, multilingual 	đa ngữ 
Multitasking 	đa nhiệm 
General purpose 	đa năng 
By many means 	đa phương 
Multimedia 	đa phương tiện 
Mostly, for the most part 	đa phần 
Multinational 	đa quốc qia 
Polyvitamin 	đa sinh tố 
Multicolored, polychromatic 	đa sắc 
Majority 	đa số 
Most of, the majority of us 	đa số chúng ta 
The majority of countries in the world 	đa số các quốc gia trên thế giới 
Absolute majority 	đa số tuyệt đối 
Relative majority 	đa số tương đối 
Overwhelming majority 	đa số áp đảo 
Meddlesome, behaving like a busybody 	đa sự 
Multiple access 	đa thâm nhập 
Code division multiple access, CDMA 	đa thâm nhập phân chia theo mã 
Time division multiple access, TDMA 	đa thâm nhập phân chia theo thời gian 
Frequency division multiple access, FDMA 	đa thâm nhập phân chia theo tần số 
Polygamous; polygamy 	đa thê 
Polytheistic 	đa thần 
Polytheism 	đa thần giáo 
Polytheism 	đa thần luận 
Polynomial 	đa thức 
Multipath 	đa tia 
Multiprocessing 	đa tiến hành 
Polyvalent 	đa trị 
Having many talents 	đa tài 
Sentimental, amorous 	đa tình 
Myriapod 	đa túc 
Show deep gratitude, express heartfelt thanks, be very graceful 	đa tạ 
Variety 	đa tạp 
Multilayer, multilevel 	đa tầng 
Multicultural 	đa văn hóa 
Multiprocessing 	đa xử lí 
Polysyllabic, polyphonic 	đa âm 
Polysyllabic 	đa âm tiết 
Francolin 	đa đa 
The more the better 	đa đa ích thiện 
Having many sons 	đa đinh 
Complicate, tangled 	đa đoan 
Multiparty 	đa đảng 
Loop, belt, rim 	đai 
To pan sand 	đai cát 
Driving belt 	đai truyền 
Reiterate, drag on 	đai đi đai lại 
Screw nut 	đai ốc 
To desire strongly, indulge in 	đam 
To dedicate, devote oneself, indulge 	đam mê 
To knit, weave 	đan 
Explain and cite, recommend 	đan cử 
Knit, plait, weave, weave 	đan lát 
To weave rattan, rattan work 	đan mây 
Red cinnamon, the moon 	đan quế 
Painting, limning art 	đan thanh 
Loyalty, constancy 	đan tâm 
Apothecary 	đan đình 
Present progressive marker 	đang 
Waiting for sb 	đang chờ đón 
Still in VN 	đang còn ở Vietnamese 
Being, having 	đang có 
Responsible for protecting the earth 	đang giữ nhiệm vụ bảo vệ trái đất 
While 	đang khi 
To be doing 	đang làm 
To be working with 	đang làm việc với 
While 	đang lúc 
While eating something happened 	đang lúc ăn thì 
To be ~ ing 	đang ngày một 
To be decreasing 	đang ngày một giảm 
Be in the flush of youth 	đang thì 
To be progressing, moving in a certain direction 	đang trong chiều hướng 
To be frustrated 	đang điên đầu 
To strike a blow 	đanh một cái 
Sharp-tongued, shrewish 	đanh đá 
Knife 	đao 
Knife-shaped lance and sword, weapons 	đao kiếm 
Executioner, headsman, hangman 	đao phủ 
Pain; painful, ill 	đau 
Stomach pain 	đau bao tử 
Acute pain 	đau buốt 
To feel a sharp pain as if pricked by needles 	đau buốt như kim châm 
Sad, distressed, desolate, sorrowful 	đau buồn 
Colic accompanied with lumbar pains 	đau bão 
As painful as 	đau bằng 
Stomach ache, stomach pain 	đau bụng 
Stomach pain or trouble, stomachache, gastralgia 	đau dạ dày 
Liver disease, hepatitis 	đau gan 
To suffer, feel pain, be miserable 	đau khổ 
Arthralgia 	đau khớp 
To feel great pain, feel deep grief; painful 	đau lòng 
Back pain, backache 	đau lưng 
Sore eyes 	đau mắt 
Trachoma, conjunctivitis 	đau mắt hột 
Labor pains 	đau nau 
Chest pains 	đau ngực 
Sharp or stabbing or piercing or throbbing pain 	đau nhói 
Aches and pains 	đau nhức 
To be seriously ill 	đau nặng 
Migraine 	đau nửa đầu 
To writhe in pain, be doubled up with pain, sting 	đau quặn 
Heart-rending, heart-breaking, sad, sorrowful; sorrow, pain, suffering 	đau thương 
Intense pain 	đau thắt 
Heart disease 	đau tim 
To feel great anguish 	đau xót 
To be ill 	đau yếu 
Dull pain 	đau ê ẩm 
Shooting or stabbing pain 	đau điếng 
Be on tenterhooks, feel anxious 	đau đáu 
Headache 	đau đầu 
Labor pain 	đau đẻ 
Painful, suffering, sorrowful; to suffer, be in pain; suffering 	đau đớn 
Unending suffering 	đau đớn vô cùng 
To be ill, sick 	đau ốm 
Jute 	đay 
To grumble, complain in a sullen 	đay nghiến 
Anvil 	đe 
To threaten, menace; threat 	đe dọa 
To threaten the China’s security, safety 	đe dọa nền an ninh Trung Quốc 
To threaten the security, safety of a region 	đe dọa nền an ninh trong vùng 
To threaten directly 	đe dọa trực tiếp 
Bomb threat 	đe dọa đánh bom 
To intimidate children into behaving themselves 	đe nẹt 
To take, bring along, carry 	đem 
To bring along a gun 	đem cây súng theo 
To restore, return, bring back, take back 	đem lại 
To restore a cease-fire 	đem lại một cuộc ngưng bán 
To carry out 	đem ra 
File a case, suit 	đem ra kiện 
To be put on trial 	đem ra xử 
Carry over 	đem sang 
To carry a gun 	đem súng 
To carry a gun 	đem súng ống 
To carry about, bring along, take along 	đem theo 
To bring money 	đem tiền 
To bring into 	đem vào 
To bring into a hospital 	đem vào nhà thương 
To take in 	đem về 
To bring home, carry home 	đem về nhà 
To bring, take away 	đem đi 
Come to ask a favor of 	đem đầu 
To bring along, produce 	đem đến 
To bring about the desired result 	đem đến kết quả mong muốn 
To carry a number of restrictions 	đem đến một số giới hạn 
Black 	đen 
Changing 	đen bạc 
Attractively tawny 	đen giòn 
Black, inky-black 	đen kịt 
Shiny black 	đen lay láy 
Brilliant black 	đen lánh 
Black, dense, crowded 	đen nghìn nghịt 
Very crowed, overcrowded 	đen nghịt 
Pitch-black, pitch-dark 	đen ngòm 
Shining black 	đen nhánh 
Black as night 	đen như cái mỏm chó 
Pitch black 	đen như hũ nút 
Black as coal, pitch-black 	đen như mực 
Dirty black 	đen nhẻm 
Jet-black 	đen rưng rức 
Very black 	đen rầm 
Very black 	đen sì 
Tanned 	đen sạm 
Delta 	đen ta 
Coal black, dark black, pitch black, very black 	đen thui 
Black as if burned 	đen thui thủi 
Black as if burned 	đen thủi đen thui 
Very black 	đen trùi trũi 
Inky black 	đen trũi 
Black and white 	đen trắng 
Dark, murky of plots, conspiracies 	đen tối 
To wear, put on jewelry, glasses, weapon 	đeo 
To be in charge of 	đeo bòng 
To wear an earring, wear earrings 	đeo bông tai 
To wear a tie 	đeo ca vát 
To wear eyeglasses 	đeo kính 
To wear on one’s hip, on one’s belt 	đeo ngang hông 
Overcome, weighed down, with grief, sorrow 	đeo sầu 
To wear a sword 	đeo thanh gươm 
To wear a sword on one’s hip, side 	đeo thanh gươm bên hông 
To wear on one’s chest 	đeo trên ngực 
To run after, chase, pursue, follow 	đeo đuổi 
Pursue persistently and eagerly, pursue steadily, follow 	đeo đẳng 
To put in earplugs 	đeo ống chống âm thanh vào 
To go; particle used to form commands, suggestions 	đi 
To go to a convalescent home 	đi an dưỡng 
To fly, go flying 	đi bay 
Leave forever 	đi biệt 
To be far away and not heard of 	đi biệt biền biệt 
To go in for trade, be a trader 	đi buôn 
To take a walk, stroll 	đi bách bộ 
To go across, walk across 	đi băng qua 
To marry again or a second time, to 	đi bước nữa 
To go anywhere, do any job 	đi bất cứ đâu, làm bất cứ việc gì 
To walk with crutches 	đi bằng nạng 
To go on foot, take a walk 	đi bộ 
To spacewalk 	đi bộ không 
Walk there 	đi bộ lại đó 
To spacewalk 	đi bộ ngoài không gian 
To walk out towards 	đi bộ ra 
Join the communist army 	đi bộ đội 
To drive, go by car 	đi chiếc xe 
Traveling with 	đi chung với 
To move, transfer 	đi chuyển 
To go walk barefoot 	đi chân đất 
To go out, be out, go have fun 	đi chơi 
To go somewhere else 	đi chỗ khác 
To go to the market 	đi chợ 
To walk on stilts 	đi cà kheo 
To go fishing 	đi câu 
To go fishing 	đi câu cá 
To be on official business 	đi công cán 
To accompany 	đi cùng với 
