The	Các
Rescue	Cứu hộ
Counterpart	đối tác
Historically	Lịch sử
Firmly	Vững chắc
Mild	Nhẹ nhàng
Rider	Người lái
Doll	Búp bê
Noon	Trưa
Exhibit	Triển lãm
Amid	Giữa
Identical	Giống nhau
Precise	Tóm lược
Anxious	Lo lắng
Structural	Cấu trúc
Residential	Nhà ở
Loud	To tiếng
Diagnose	Chẩn đoán
Carbohydrate	Carbohydrate
Liberty	Tự do
Poster	áp phích
Theology	Thần học
Nonprofit	Phi lợi nhuận
Crawl	Thu thập thông tin
Oxygen	ôxy
Handsome	đẹp
Magic	Ma thuật
Sum	Tổng hợp
Provided	Cung cấp
Businessman	Doanh nhân
Promising	Hứa hẹn
Conscious	Có ý thức
Determination	Sự quyết tâm
Donor	Nhà tài trợ
Hers	Của cô ấy
Pastor	Mục sư
Jazz	Jazz
Opera	Opera
Japanese	Tiếng Nhật
Bite	Cắn
Frame	Khung
Evil	Tà ác
Acquisition	Mua lại
Pit	Hố
Hug	ôm
Wildlife	động vật hoang dã
Punish	Trừng phạt
Giant	Khổng lồ
Primary	Sơ cấp
Equity	Công bằng
Wrong	Sai rồi
Doorway	Lối vào
Departure	Khởi hành
Elevator	Thang máy
Teenage	Thiếu niên
Guidance	Hướng dẫn
Happiness	Hạnh phúc
Statue	Bức tượng
Pursuit	Theo đuổi
Repair	Sửa
Decent	Phong nha
Gym	Phòng thể dục
Oral	Miệng
Clerk	Nhân viên bán hàng
Israeli	Israeli
Envelope	Phong bì
Reporting	Báo cáo
Destination	Nơi đến
Fist	Nắm tay
Endorse	Chứng thực
Exploration	Thăm dò
Generous	Hào phóng
Bath	Bồn tắm
Rescue	Cứu hộ
Thereby	Bằng cách ấy
Overall	Tổng thể
Indicator	Chỉ thị
Sunlight	ánh sáng mặt trời
Feedback	Phản hồi
Spectrum	Quang phổ
Purple	Màu tím
Laser	Laser
Bold	Dũng cảm
Reluctant	Lưỡng lự
Starting	Bắt đầu
Expertise	Chuyên môn
Practically	Thực tế
Program	Chương trình
Picture	Hình ảnh
Tune	điều chỉnh
Eating	Ăn
Age	Tuổi tác
Volunteer	Tình nguyện
Hint	Dấu
Sharply	Mạnh
Parade	Diễu hành
Advocate	Biện hộ
Realm	Cảnh giới
Ban	Lệnh cấm
Strip	Dải
Cancel	Hủy bỏ
Blend	Trộn
Therapist	Nhà trị liệu
Slice	Lát
Peel	Lột vỏ
Pizza	Pizza
Recipient	Người nhận
Hesitate	Do dự
Flip	Lật
Accounting	Kế toán
Debate	Tranh luận
Bias	Sự thiên vị
Huh	Huh
Metaphor	Phép ẩn dụ
Candle	Nến
Handle	Xử lý
Worry	Lo
Judicial	Tư pháp
Entity	Thực thể
Suffering	đau khổ
Full-time	Toàn thời gian
Feel	Cảm thấy
Lamp	đèn
Garbage	Rác thải
Servant	Người hầu
Addition	Thêm vào
Regulatory	Quy định
Diplomatic	Ngoại giao
Elegant	Thanh lịch
Inside	Phía trong
Reception	Tiếp nhận
Vanish	Biến mất
Automatically	Tự động
Chin	Cái cằm
Trail	đường mòn
Necessity	Sự cần thiết
Confess	Xưng
Racism	Chủ nghĩa phân biệt chủng tộc
Starter	Bắt đầu
Interior	Nội địa
Banking	Ngân hàng
Casual	Giản dị
Gravity	Nghiêm trọng
Enroll	Ghi danh
Diminish	Suy giảm
Prevention	Phòng ngừa
Arab	Arab
Value	Giá trị
Minimize	Giảm thiểu
Chop	Chặt
Performer	Người biểu diễn
Intent	ý định
Isolate	Cô lập
Pump	Máy bơm
Inventory	Hàng tồn kho
Productive	Có năng suất
Assembly	Hội,, tổ hợp
Civic	Công dân
Silk	Lụa
Magnitude	độ lớn
Steep	Dốc
Hostage	Con tin
Collector	Người thu gom
Popularity	Phổ biến
Kiss	Hôn
Alien	Người ngoài hành tinh
Dynamic	Năng động
Scary	đáng sợ
Equation	Phương trình
Angel	Thiên thần
Switch	Công tắc điện
Offering	Chào bán
Rage	Giận dữ
Photography	Nhiếp ảnh
Repair	Sửa
Toilet	Phòng vệ sinh
Disappointed	Thất vọng
Precious	Quí
Prohibit	Cấm
Representative	Tiêu biểu
Content	Nội dung
Realistic	Thực tế
Russian	Người Nga
Hidden	ẩn
Command	Chỉ huy
Tender	đấu thầu
Wake	đánh thức
Gathering	Thu thập
Outstanding	Nổi bật
Stumble	Tình cờ gặp
Lonely	Cô đơn
Automobile	ôtô
Artificial	Nhân tạo
Dawn	Bình minh
Abstract	Trừu tượng
Descend	Hạ xuống
Silly	Ngớ ngẩn
Hook	Cái móc
Tide	Thủy triều
Shared	Chia sẻ
Hopefully	Hy vọng
Readily	Dễ dàng
Cooperate	Hợp tác
Revolutionary	Cách mạng
Romance	Lãng mạn
Hardware	Phần cứng
Pillow	Cái gối
Kit	Bộ dụng cụ
Cook	Nấu ăn
Spread	Lan tràn
Continent	Lục địa
Seal	Niêm phong
Circuit	Mạch
Sink	Bồn rửa
Ruling	Phán quyết
Shortage	Sự thiếu
Annually	Hàng năm
Lately	Gần đây
Trap	Bẩy
Scan	Quét
Fool	Ngu xuẩn
Deadline	Hạn chót
Rear	Phía sau
Processing	Chế biến
Ranch	Trang trại
Coastal	Duyên hải
Undertake	Thực hiện
Softly	Nhẹ nhàng
Reserve	Dự trữ
Burning	đốt
Verbal	Lời nói
Tribal	Bộ lạc
Ridiculous	Nực cười
Automatic	Tự động
Diamond	Kim cương
Credibility	Uy tín
Import	Nhập khẩu
Sexually	Tình dục
Spring	Mùa xuân
Way	đường
Divine	Thần thánh
Sentiment	Tình cảm
Cart	Xe đẩy
Oversee	Giám sát
Stem	Thân cây
Elder	đàn anh
Pro	Pro
Inspiration	Cảm hứng
Dutch	Người Hà Lan
Quantity	Số lượng
Trailer	Trailer
Mate	Người bạn đời
O'clock	Giờ
Greek	Người Hy Lạp
Genius	Thiên tài
Monument	Tượng đài
Bid	BID
Quest	Nhiệm vụ
Sacrifice	Sự hy sinh
Invitation	Lời mời
Accuracy	Tính chính xác
Juror	Bồi thẩm đoàn
Officially	Chính thức
Broker	Người môi giới
Treasure	Kho báu
Loyalty	Lòng trung thành
Credit	Tín dụng
Shock	Sốc
Talented	Có tài
Gasoline	Xăng
Stiff	Cứng
Output	đầu ra
Nominee	ứng cử viên
Extended	Mở rộng
Please	Xin vui lòng
Diabetes	Bệnh tiểu đường
Slap	Tát
Toxic	Chất độc
Alleged	Cáo buộc
Jaw	Hàm
Grief	đau buồn
Mysterious	Huyền bí
Rocket	Tên lửa
Donate	Hiến tặng
Inmate	Tù nhân
Tackle	Giải quyết
Dynamics	động lực học
Bow	Cây cung
Ours	Của chúng tôi
Senior	Cao cấp
Dignity	Phẩm giá
Carpet	Thảm
Parental	Cha mẹ
Bubble	Bong bóng
Heat	Nhiệt
Buddy	Bạn bè
Barn	Chuồng trại
Sword	Thanh kiếm
Flash	đèn flash
Seventh	Thứ bảy
Glory	Vinh quang
Tightly	Chặt chẽ
Protective	Bảo vệ
Tuck	Tuck
Drum	Trống
Faint	Mờ nhạt
Post	Bài đăng
Queen	Nữ hoàng
Dilemma	Tình trạng khó xử
Input	đầu vào
Specialize	Chuyên môn hóa
Northeast	đông bắc
Shallow	Nông
Liability	Trách nhiệm pháp lý
Sail	Cánh buồm
Merchant	Thương gia
Stadium	Sân vận động
Improved	Cải tiến
Bloody	Dính máu
Defeat	đánh bại
Associated	Liên kết
Withdrawal	Thu hồi
Refrigerator	Tủ lạnh
Nest	Tổ
Near	ở gần
Thoroughly	Triệt để
Lane	Lane
Ancestor	Tổ tiên
Condemn	Lên án
Steam	Hơi nước
Accent	Giọng điệu
Escape	Thoát khỏi
Optimistic	Lạc quan
Unite	Thống nhất
Cage	Cái lồng
Equip	Trang bị
Shrimp	Con tôm
Homeland	Quê hương
Exchange	Trao đổi, giao dịch
Rack	Giá đỡ
Costume	Trang phục
Wolf	Chó sói
Courtroom	Phòng xử án
Statute	đạo luật
Cartoon	Hoạt hình
Besides	Ngoài ra
Productivity	Năng suất
Grin	Nụ cười
Symbolic	Tượng trưng
Seal	Niêm phong
Bug	Lỗi
Bless	Ban phước
Aunt	Cô dì
Agriculture	Nông nghiệp
Rock	đá
Hostile	Hostile
Root	Nguồn gốc
Conceive	Thụ thai
Combined	Kết hợp
Instantly	Ngay lập tức
Bankruptcy	Phá sản
Vaccine	Vắc-xin
Bonus	Thưởng
Collaboration	Hợp tác
Mixed	Pha trộn
Opposed	Phản đối
Orbit	Quỹ đạo
Grasp	Sự hiểu biết
Patience	Kiên nhẫn
Spite	Bất bình
Tropical	Nhiệt đới
Voting	Bầu cử
Patrol	Tuần tra
Willingness	Sự sẵn lòng
Position	Chức vụ
Revelation	Sự mặc khải
Rent	Thuê
Calm	điềm tĩnh
Jewelry	đồ trang sức
Cuban	Cuba
Haul	Lôi
Concede	Công nhận
Trace	Dấu vết
Wagon	Toa xe
Afterward	Sau đó
Spectacular	đẹp mắt
Ruin	Phá hoại
Sheer	Tuyệt
Prior	Trước
Immune	Miễn dịch
Reliability	độ tin cậy
Ass	Mông
Alongside	Bên cạnh
Bush	Cây bụi
Exotic	Kỳ lạ
Fascinating	Hấp dẫn
Secure	đảm bảo
Clip	Kẹp
Thigh	đùi
Bull	Con bò
Drawer	Ngăn kéo
Regard	Quan tâm
Sheep	Cừu
Discourage	Gây chán nản cho
Coordinator	điều phối viên
Ideological	ý thức hệ
Runner	Người chạy
Secular	Thế tục
Intimate	Thân mật
Empire	đế chế
Cab	Taxi
Divorce	Ly hôn
Exam	Thi
Documentary	Phim tài liệu
Neutral	Trung tính
Biology	Sinh học
Flexible	Linh hoạt
Progressive	Cấp tiến
Web	Web
Conspiracy	âm mưu
Catch	Bắt lấy
Casualty	Tai nạn
Republic	Nước cộng hòa
Execution	Chấp hành
Terrific	Khủng khiếp
Whale	Cá voi
Functional	Chức năng
Star	Ngôi sao
Draft	Bản nháp
Instinct	Bản năng
Teammate	đồng đội
Aluminum	Nhôm
Whoever	Bất cứ ai
Ministry	Bộ
Verdict	Bản án
Instruct	Dạy
Skull	Sọ
Self-esteem	Lòng tự trọng
Ease	Giảm bớt
Cooperative	Hợp tác xã
Manipulate	Vận dụng
Bee	Con ong
Practitioner	Học viên
Loop	Vòng lặp
Edit	Chỉnh sửa
Whip	Roi da
Puzzle	Câu đố
Mushroom	Nấm
Subsidy	Trợ cấp
Boil	Sôi lên
Tragic	Bi kịch
Mathematics	Toán học
Mechanic	Thợ cơ khí
Jar	Lọ
Respect	Sự tôn trọng
Earthquake	động đất
Pork	Thịt heo
Creativity	Sáng tạo
Safely	An toàn
Underlying	Cơ bản
Dessert	Món tráng miệng
Sympathy	Cảm thông
Fisherman	Ngư dân
Incredibly	Vô cùng
Isolation	Cô lập
Sock	Bít tất
Near	ở gần
Jump	Nhảy
Eleven	Mười một
Sexy	Sexy
Entrepreneur	Doanh nhân
Syndrome	Hội chứng
Bureau	Phòng làm việc
Seat	Ghế
Workplace	Nơi làm việc
Ambition	Tham vọng
Touchdown	đụng
Utilize	Sử dụng
Breeze	Khoe khoang
Costly	Tốn kém
Ambitious	đầy tham vọng
Christianity	Cơ đốc giáo
Presumably	Có lẽ
Influential	Có ảnh hưởng
Translation	Dịch
Uncertain	Không chắc chắn
Dissolve	Giải thể
Object	Vật
Statistical	Thống kê
Gut	Ruột
Metropolitan	đô thị
Rolling	Lăn
Aesthetic	Thẩm mỹ
Spell	Đánh vần
Insert	Chèn
Booth	Gian hàng
Helmet	Mũ bảo hiểm
Waist	Eo
Expected	Kỳ vọng
Lion	Sư tử
Accomplishment	Hoàn thành
Royal	Hoàng tộc
Panic	Hoảng loạn
Cast	Dàn diễn viên
Crush	Nghiền nát
Actively	Tích cực
Cliff	Vách đá
Minimal	Tối thiểu
Cord	Dây
Fortunately	May mắn
Cocaine	Cocaine
Illusion	ảo giác
Anonymous	Vô danh
Tolerate	Tha thứ
Appreciation	Sự đánh giá
Commissioner	ủy viên
Harm	Làm hại
Flexibility	Mềm dẻo
Instructional	Hướng dẫn
Scramble	Tranh giành
Casino	Casino
Tumor	Khối u
Decorate	Trang trí
Sort	Sắp xếp
Charge	Sạc điện
Pulse	Xung
Equivalent	Tương đương
Fixed	đã sửa
Experienced	Có kinh nghiệm
Donation	Quyên góp
Diary	Nhật ký
Sibling	Anh chị em ruột
Irony	Mỉa mai
Spoon	Cái thìa
Midst	Giữa
Alley	Hẻm
Upset	Buồn bã
Interact	Tương tác
Soap	Xà bông
Cute	Dễ thương
Rival	đối thủ
Short-term	Thời gian ngắn
Punch	đấm
Pin	Ghim
Hockey	Khúc côn cầu
Passing	đi qua
Persist	Tồn tại
Supplier	Nhà cung cấp
Known	Nổi tiếng
Momentum	Đà
Purse	Cái ví
Shed	đổ ra
Liquid	Chất lỏng
Icon	Biểu tượng
Elephant	Con voi
Consequently	Hậu quả là
Legislature	Cơ quan lập pháp
Associate	Liên kết
Franchise	Nhượng quyền thương mại
Correctly	đúng
Mentally	Tinh thần
Foster	Nuôi dưỡng
Bicycle	Xe đạp
Encouraging	Khuyến khích
Cheat	Lừa đảo
Access	Truy cập
Heal	Chữa lành
Fever	Sốt
Filter	Lọc
Rabbit	Con thỏ
Coin	đồng tiền
Exploit	Khai thác
Accessible	Có thể truy cập
Organism	Cơ thể
Sensation	Cảm giác
Partially	Một phần
Stay	ở lại
Upstairs	Tầng trên
Dried	Khô
Minimum	Tối thiểu
Pro	Pro
Conservation	Bảo tồn
Shove	Xô
Backyard	Sân sau
Charter	điều lệ
Stove	Bếp
Consent	Bằng lòng
Comprise	Bao gồm
Reminder	Nhắc nhở
Alike	Như nhau
Placement	Vị trí
Dough	Bột
Grandchild	Cháu ngoại
Dam	Con đập
Reportedly	Báo cáo
Well-known	Nổi tiếng
Surrounding	Xung quanh
Ecological	Sinh thái
Outfit	Trang phục
Unprecedented	Chưa từng có
Columnist	Nhà bình luận viên
Workout	Tập thể dục
Preliminary	Sơ bộ
Patent	Bằng sáng chế
Shy	Nhát
Quote	Trích dẫn
Trash	Rác
Disabled	Tàn tật
Gross	Tổng
Damn	Chỉ trích
Hormone	Hoocmon
Texture	Kết cấu
Counter	Quầy tính tiền
Pencil	Bút chì
Associate	Liên kết
Frontier	Biên giới
Spray	Xịt nước
Bet	Cá cược
Disclose	Tiết lộ
Custody	Quyền nuôi con
Banker	Chủ ngân hàng
Beast	Quái thú
Interfere	Gây trở ngại
Oak	Cây sồi
Case	Trường hợp
Eighth	Thứ tám
Notebook	Sổ tay
Outline	đề cương
Gaze	Nhìn chằm chằm
Attendance	Sự tham dự
Speculation	Suy đoán
Uncover	Khám phá
Behalf	Thay mặt
Innovative	Sáng tạo
Shark	Cá mập
Reward	Phần thưởng
Mill	Cối xay
Installation	Cài đặt
Stimulate	Kích thích
Tag	Nhãn
Vertical	Theo chiều dọc
Swimming	Bơi lội
Fleet	Hạm đội
Catalog	Mục lục
Outsider	Người ngoài
Sacrifice	Sự hy sinh
Desperately	Tuyệt vọng
Stance	Lập trường
Compel	Bắt buộc
Sensitivity	Nhạy cảm
Someday	Một ngày nào đó
Instant	Tức thời
Debut	Ra mắt
Proclaim	Tuyên bố
Worldwide	Trên toàn thế giới
Hike	đi lang thang
Required	Cần thiết
Confrontation	đối đầu
Colorful	Đầy màu sắc
Ideal	Lý tưởng
Constitution	Hiến pháp
Trainer	Người huấn luyện
Thanksgiving	Lễ Tạ ơn
Scent	Hương thơm
Stack	Cây rơm
Eyebrow	Lông mày
Sack	Bao
Cease	Ngưng
Inherit	Thừa kế
Tray	Cái mâm
Pioneer	Người tiên phong
Organizational	Tổ chức
Textbook	Sách giáo khoa
Uh	Uh
Nasty	Bẩn thỉu
Shrink	Co lại
Model	Mô hình
Emerging	Mới nổi
Dot	Dấu chấm
Wheat	Lúa mì
Fierce	Khốc liệt
Envision	Hình dung
Rational	Hợp lý
Kingdom	Vương quốc
Aisle	Lối đi
Weaken	Làm suy yếu
Protocol	Giao thức
Exclusively	Duy nhất
Vocal	Tiếng hát
Marketplace	Thương trường
Openly	Cởi mở
Unfair	Không công bằng
Terrain	địa hình
Deploy	Triển khai
Risky	Rủi ro
Pasta	Mỳ ống
Genre	Thể loại
Distract	Làm mất tập trung
Merit	N	Xứng đáng
Planner	Lập kế hoạch
Depressed	Suy sụp
Chunk	Mảnh
Closest	Gần nhất
Discount	Giảm giá
No	Không
Ladder	Thang
Jungle	Rừng nhiệt đới
Migration	Di cư
Breathing	Thở
Invade	Xâm chiếm
Hurricane	Bão
Retailer	Nhà bán lẻ
Classify	Phân loại
Wound	Vết thương
Coup	Cuộc đảo chính
Aid	Viện trợ
Ambassador	đại sứ
Density	Tỉ trọng
Supportive	Hỗ trợ
Curiosity	Sự tò mò
Skip	Bỏ qua
Aggression	Hiếu chiến
Stimulus	Kích thích kinh tế
Journalism	Báo chí
Robot	Robot
Flood	Lũ
Dip	Nhúng
Likewise	Tương tự
Informal	Không chính thức
Persian	Người Ba Tư
Feather	Lông vũ
Sphere	Quả cầu
Tighten	Thắt chặt
Boast	Khoe khoan
Pat	Vỗ vỗ
Perceived	Lĩnh hội
Sole	Duy Nhất
Publicity	Công khai
Major	Chính
Unfold	Mở ra
Joke	đùa
Well-being	Hạnh phúc
Validity	Hiệu lực
Ecosystem	Hệ sinh thái
Strictly	Nghiêm khắc
Partial	Một phần
Collar	Cổ áo
Weed	Cỏ dại
Compliance	Sự tuân thủ
Streak	Streak
Supposedly	được cho là
Added	Thêm
Builder	Người xây dựng
Glimpse	Nhìn thoáng qua
Premise	Tiền đề
Specialty	Chuyên môn
Deem	Thấy
Artifact	đồ tạo tác
Sneak	Sneak
Monkey	Con khỉ
Mentor	Người cố vấn
Two-thirds	Hai phần ba
Listener	Người nghe
Lightning	Sét đánh
Legally	Hợp pháp
Sleeve	Tay áo
Disappointment	Thất vọng
Disturb	Xáo trộn
Rib	Xương sườn
Excessive	Quá đáng
High-tech	Công nghệ cao
Debris	Mảnh vụn
Pile	Đóng cọc
Rod	Gậy
Logical	Hợp lý
Liberal	Tự do
Ash	Tro
Socially	Xã hội
Parish	Giáo xứ
Slavery	Chế độ nô lệ
Blank	Chỗ trống
Commodity	Hàng hóa
Cure	Chữa khỏi
Mineral	Khoáng sản
Hunger	đói
Dying	Chết
Developmental	Phát triển
Faster	Nhanh hơn
Spare	Phụ tùng
Halfway	Nửa chừng
Cure	Chữa khỏi
Equality	Bình đẳng
Cemetery	Nghĩa trang
Harassment	Quấy rối
Deliberately	Thong thả
Fame	Danh tiếng
Regret	Hối tiếc
Striking	Nổi bật
Likelihood	Khả năng
Carrot	Cà rốt
Atop	Trên
Toll	Số điện thoại
Rim	Rim
Embarrassed	Xấu hổ
Fucking	Fucking
Cling	Bám lấy
Isolated	Bị cô lập
Blink	Chớp mắt
Suspicious	Nghi ngờ
Wheelchair	Xe lăn
Squad	đội hình
Eligible	Hội đủ điều kiện
Processor	Bộ vi xử lý
Plunge	Lao xuống
This	điều này
Sponsor	Nhà tài trợ
Grin	Nụ cười
Color	Màu
Demographic	Nhân khẩu học
Rain	Mưa
Chill	Làm lạnh
Refuge	Nơi ẩn náu
Steer	Chỉ đạo
Legislator	Nhà lập pháp
Rally	Biểu tình
Programming	Lập trình
Cheer	Vui lên
Outlet	đầu ra
Intact	Nguyên vẹn
Vendor	Nhà cung cấp
Thrive	Phát đạt
Peanut	đậu phụng
Chew	Nhai
Elaborate	Kỹ lưỡng
Intellectual	Trí tuệ
Conception	Quan niệm
Auction	Bán đấu giá
Steak	Miếng bò hầm
Comply	Tuân theo
Triumph	Triumph
Shareholder	Cổ đông
Comparable	So sánh
Transport	Vận chuyển
Conscience	Lương tâm
Calculation	Phép tính
Considerably	đáng kể
Interval	Khoảng thời gian
Scratch	Vết trầy
Awake	Thức tỉnh
Jurisdiction	Quyền hạn
Inevitably	Chắc chắn
Feminist	Nữ quyền sĩ
Constraint	Hạn chế
Emotionally	Tình cảm
Expedition	Thám hiểm
Allegedly	Bị cáo buộc
Compromise	Thỏa hiệp
Strain	Sự căng thẳng, quá tải
Similarity	Sự giống nhau
Butt	Mông
Lid	Nắp
Dumb	Ngớ ngẩn
Bulk	Số lượng lớn
Sprinkle	Rắc
Mortality	Tử vong
Philosophical	Triết học
Conversion	Chuyển đổi
Patron	Người bảo trợ
Municipal	Thành phố
Any	Bất kì
Liver	Gan
Harmony	Hòa hợp
Solely	Chỉ
Tolerance	Lòng khoan dung
Instant	Tức thời
Goat	Con dê
Arm	Cánh tay
Blessing	Phước lành
Banana	Trái chuối
Running	đang chạy
Palace	Cung điện
Formerly	Trước kia
Peasant	Nông dân
Neat	Khéo léo
Grandparent	ông bà
Lawmaker	Nhà lập pháp
Supermarket	Siêu thị
Cruise	Du lịch
Mobile	Di động
Plain	Trơn
Part	Phần
Calendar	Lịch
Widow	Người đàn bà góa
Deposit	Tiền gửi
Beard	Râu
Brake	Phanh
Downtown	Trung tâm thành phố
Screening	Kiểm tra
Impulse	Thúc đẩy
Forbid	Ngăn cấm
Fur	Lông thú
Brutal	Tàn bạo
Predator	Người ăn thịt
Poke	Xô
Opt	Opt
Voluntary	Tình nguyện
Trouble	Rắc rối
Valid	Có hiệu lực
Forum	Diễn đàn
Dancing	Khiêu vũ
Happily	Hạnh phúc
Soar	Bay lên
Removal	Gỡ bỏ
Autonomy	Tự trị
Enact	Ban hành
Round	Tròn
Thread	Chủ đề
Light	ánh sáng
Landmark	Mốc
Unhappy	Không vui
Offender	Tội phạm
Coming	đang đến
Privately	Tư nhân
Fraction	Phân số
Distinctive	đặc biệt
Tourism	Du lịch
Threshold	Ngưỡng
Calm	điềm tĩnh
Routinely	Thường
Suite	Suite
Remark	Nhận xét
Regulator	Người điều tiết
Straw	Rơm rạ
Theological	Thần học
Apart	Xa nhau
Exhaust	Thoát ra
Globe	Quả địa cầu
Fragile	Mong manh
Objection	Sự phản đối
Chemistry	Hóa học
Old-fashioned	Cổ hủ
Crowded	Đông người
Circle	Vòng tròn
Blast	Vụ nổ
Prevail	Chiếm ưu thế
Overnight	Qua đêm
Denial	Từ chối
Rental	Thuê
Fantastic	Tuyệt diệu
Fragment	Miếng
Level	Cấp độ
Screw	Đinh ốc
Warmth	ấm áp
Undergraduate	đại học
Liquid	Chất lỏng
Headache	đau đầu
Policeman	Cảnh sát
Yield	Năng suất
Projection	Chiếu
Battle	Chiến đấu
Suitable	Thích hợp
Mention	đề cập đến
Graduation	Tốt nghiệp
Drill	Máy khoan
Cruel	Hung ác
Mansion	Biệt thự
Regard	Quan tâm
Grape	Giống nho
Authorize	Cho phép
Cottage	Nhà tranh
Driveway	đường lái xe
Charm	Quyến rũ
Sexuality	Tình dục
Loyal	Trung thành
Clay	đất sét
Pound	Pao
Balloon	Quả bóng bay
Invention	Sự phát minh
Ego	Tự ngã
Fare	Giá vé
Homework	Bài tập về nhà
Disc	đĩa
Sofa	Ghế sô pha
Guarantee	Bảo hành
Availability	Khả dụng
Radar	Radar
Frown	Nhăn mặt
Regain	Giành lại
Leave	Rời khỏi
Permit	Cho phép
Sweater	áo len
Rehabilitation	Phục hồi chức năng
Rubber	Cao su
Retreat	Rút lui
Molecule	Phân tử
Freely	Tự do
Favorable	Thuận lợi
Steadily	Liên tục
Veteran	Cựu chiến binh
Integrated	Tích hợp
Ha	Ha
Youngster	Thiếu niên
Broadcast	Phát sóng
Premium	Phí bảo hiểm
Accountability	Trách nhiệm giải trình
Overwhelm	Quá tải
One-third	Một phần ba
Contemplate	Thưởng ngoạn
Update	Cập nhật
Spark	Tia lửa
Ironically	Trớ trêu thay
Fatigue	Mệt mỏi
Beyond	Vượt ra ngoài
Speculate	Suy đoán
Marker	đánh dấu
Low	Thấp
Preach	Rao giảng
Bucket	Cái xô
Bomb	Bom
Blond	Tóc vàng
Confession	Lời thú tội
Provoke	Kích động
Marble	đá hoa
Substantially	đáng kể
Twist	Xoắn
Defender	Hậu vệ
Fish	Cá
Explicit	Rõ ràng
Transport	Vận chuyển
Disturbing	Phiền
Surveillance	Giám sát
Magnetic	Từ tính
Technician	Kỹ thuật viên
Mutter	Lẩm bẩm
Devastating	Tàn phá
Depart	Khởi hành
Arrow	Mũi tên
Trauma	Chấn thương
Neighboring	Lân cận
Soak	Ngâm
Ribbon	Ribbon
Meantime	Thời gian chờ đợi
Transmit	Chuyển giao
Screen	Màn
Harvest	Mùa gặt
Consecutive	Liên tiếp
Republican	Nhà nước cộng hòa
Coordinate	Danh từ	Tọa độ
Worldwide	Trên toàn thế giới
Within	Bên trong
Spy	Gián điệp
Slot	Khe
Riot	Bạo loạn
Nutrient	Chất dinh dưỡng
Citizenship	Quyền công dân
Severely	Nghiêm trọng
Sovereignty	Chủ quyền
Ridge	Cây rơm
Brave	Can đảm
Lighting	Thắp sáng
Specify	Chỉ định
Contributor	Người đóng góp
Frustrate	Thất vọng
Crowd	đám đông
Articulate	Khớp nối
Importantly	Quan trọng
Transit	Quá cảnh
Dense	Dày đặc
Seminar	Hội thảo
Electronics	Thiết bị điện tử
Sunny	Nắng
Shorts	Quần short
Swell	Sưng lên
Accusation	Tố cáo
Soften	Làm mềm
Photograph	ảnh chụp
Straighten	Làm thẳng
Terribly	Khủng khiếp
Cue	Gợi ý
Sudden	đột nhiên
Bride	Cô dâu
Biography	Tiểu sử
Hazard	Nguy hiểm
Compelling	Thuyết phục
Seldom	ít khi
Tile	Ngói
Economically	Kinh tế
Honestly	Thành thật
Troubled	Gặp rắc rối
Bow	Cây cung
Twentieth	Hai mươi
Balanced	Cân bằng
Foreigner	Người nước ngoài
Launch	Phóng
Convenience	Tiện
Delight	Hân hoan
Weave	Dệt
Timber	Gỗ
Till	Cho đến
Accurately	Chính xác
Plea	Lời bào chữa
Bulb	Bóng đèn
Copy	Sao chép
Flying	Bay
Sustainable	Bền vững
Devil	ác quỷ
Bolt	Chớp
Cargo	Hàng hóa
Spine	Xương sống
Seller	Người bán
Skilled	Có kỹ năng
Managing	Quản lý
Public	Công cộng
Marine	Biển
Dock	Bến tàu
Organized	Tổ chức
Fog	Sương mù
Diplomat	Nhà ngoại giao
Boring	Nhàm chán
Sometime	Thỉnh thoảng
Summary	Tóm lược
Missionary	Nhà truyền giáo
Epidemic	Bệnh dịch
Fatal	Gây tử vong
Trim	Cắt tỉa
Warehouse	Kho
Accelerate	đẩy nhanh
Butterfly	Con bướm
Bronze	đồng
Drown	Chết chìm
Inherent	Vốn có
Praise	Ca ngợi
Nationwide	Toàn quốc
Spit	Nhổ
Harvest	Mùa gặt
Kneel	Quỳ xuống
Vacuum	Khoảng chân không
Selected	đã chọn
Dictate	điều khiển
Stereotype	Khuôn mẫu
Sensor	Cảm biến
Laundry	Giặt ủi
Manual	Sổ tay
Pistol	Súng lục
Naval	Hải quân
Plaintiff	Nguyên đơn
Kid	đứa trẻ
Middle-class	Tầng lớp trung lưu
Apology	Xin lỗi
Till	Cho đến
